start,starttime,end,allocation
72,17071,17071,0.0023589064159048687
79,11059,11059,0.001528155705787121
82,5432,5432,0.0007506050993612119
83,6566,6566,0.0009073035865989906
116,17636,17636,0.0024369792953487356
119,1346,1346,0.00018599308979016773
120,3873,3873,0.0005351792249311439
127,26520,26520,0.003664588960798847
128,28447,28447,0.0039308658434330625
143,9005,9005,0.0012443296980389751
144,3557,3557,0.0004915136852775829
146,11913,11913,0.0016461632085217445
150,10613,10613,0.0014665264947570952
151,34462,34462,0.004762031099813343
152,11066,11066,0.0015291229803997
153,15173,15173,0.002096636813808481
157,8048,8048,0.001112089440290691
161,23212,23212,0.00320748261531157
164,12966,12966,0.0017916689466711106
167,19711,19711,0.0027237071269346183
168,32336,32336,0.004468255981764386
173,23776,23776,0.003285417312667926
174,13979,13979,0.001931647401320026
195,17660,17660,0.002440295665449006
212,22181,22181,0.003065016883087452
216,3959,3959,0.000547062884457113
217,16597,16597,0.0022934081064245274
223,14345,14345,0.0019822220453491503
224,2114,2114,0.0002921169329988221
228,11185,11185,0.001545566648813541
229,31658,31658,0.004374568526431746
232,7011,7011,0.0009687946155415052
236,22437,22437,0.0031003914974903368
237,23359,23359,0.0032277953821757267
238,13677,13677,0.0018899164108916228
239,8936,8936,0.0012347951340006976
241,5961,5961,0.000823703423654673
242,5826,5826,0.0008050488418406517
243,5432,5432,0.0007506050993612119
244,6334,6334,0.0008752453422963762
245,3317,3317,0.00045834998427487844
247,12818,12818,0.001771217997719443
248,4745,4745,0.0006556740052409702
249,8870,8870,0.0012256751162249538
251,22775,22775,0.0031470970430691456
252,15618,15618,0.0021581278427509954
253,17093,17093,0.0023619464218301166
254,11053,11053,0.0015273266132620534
257,16559,16559,0.002288157187099099
258,7302,7302,0.0010090056030072844
259,15615,15615,0.0021577132964884617
260,6488,6488,0.0008965253837731116
261,6847,6847,0.0009461327531896572
262,4971,4971,0.000686903157018517
264,9968,9968,0.0013773990483123269
265,20239,20239,0.0027966672691405684
266,6247,6247,0.0008632235006828958
267,17870,17870,0.0024693139038263726
268,17599,17599,0.002431866558110819
270,4877,4877,0.0006739140407924577
274,6573,6573,0.0009082708612115695
275,3893,3893,0.0005379428666813693
276,10156,10156,0.0014033772807644455
278,4161,4161,0.0005749756661343892
279,18641,18641,0.0025758522932975607
280,12697,12697,0.0017544979651305792
281,37351,37351,0.005161239150633399
282,9102,9102,0.0012577333605275681
284,32461,32461,0.004485528742703295
285,37621,37621,0.005198548314261441
289,3101,3101,0.0004285026533724444
291,7434,7434,0.0010272456385587718
293,34911,34911,0.004824074857105903
295,11958,11958,0.0016523814024597518
296,12935,12935,0.0017873853019582612
297,24387,24387,0.003369846568137311
301,18869,18869,0.00260735780925013
302,8055,8055,0.0011130567149032697
303,15406,15406,0.0021288332401986063
304,21994,21994,0.003039176832722845
305,17432,17432,0.002408790149496437
306,12003,12003,0.0016585995963977588
307,16037,16037,0.002216026137418217
308,9495,9495,0.0013120389209194969
309,15654,15654,0.002163102397901401
310,6792,6792,0.0009385327383765374
311,11676,11676,0.001613414053781574
312,21899,21899,0.0030260495344092745
313,5329,5329,0.0007363723443475511
314,7281,7281,0.0010061037791695478
315,20767,20767,0.002869627411346518
316,6866,6866,0.0009487582128523712
317,15573,15573,0.002151909648812988
319,16581,16581,0.002291197193024347
320,11960,11960,0.0016526577666347742
321,9166,9166,0.0012665770141282893
322,6523,6523,0.000901361756836006
323,10467,10467,0.00144635190998045
324,9137,9137,0.0012625697335904625
325,15249,15249,0.002107138652459337
326,18584,18584,0.0025679759143094182
327,30881,30881,0.00426720104443549
328,16645,16645,0.0023000408466250684
330,10942,10942,0.0015119884015483026
331,7514,7514,0.0010383002055596735
332,7853,7853,0.0010851439332259934
334,22131,22131,0.003058107778711889
335,15352,15352,0.002121371407472998
336,20086,20086,0.002775525409751344
337,8605,8605,0.0011890568630344676
339,5268,5268,0.0007279432370093637
340,6461,6461,0.0008927944674103074
341,6021,6021,0.0008319943489053491
342,7405,7405,0.001023238358020945
343,5792,5792,0.0008003506508652686
344,4213,4213,0.0005821611346849753
345,21324,21324,0.002946594834090295
346,16353,16353,0.002259691677071778
347,24440,24440,0.003377170218775408
348,14495,14495,0.0020029493584758406
349,8962,8962,0.0012383878682759905
350,12989,12989,0.0017948471346838698
351,11749,11749,0.0016235013461698966
353,4385,4385,0.0006059284537369134
354,5330,5330,0.0007365105264350624
355,16259,16259,0.0022467025608457186
356,8078,8078,0.0011162349029160289
357,11683,11683,0.0016143813283941528
358,34078,34078,0.0047089691782090165
359,31493,31493,0.004351768481992387
360,9646,9646,0.0013329044161336985
361,19050,19050,0.0026323687670896695
362,9143,9143,0.0012633988261155301
363,19222,19222,0.002656136086141608
364,5363,5363,0.0007410705353229343
365,5246,5246,0.0007249032310841159
366,9231,9231,0.0012755588498165218
368,36793,36793,0.005084133545802111
369,13283,13283,0.0018354726684121827
372,2860,2860,0.00039520077028222864
373,2236,2236,0.0003089751476751969
376,11557,11557,0.001596970385367733
377,19838,19838,0.0027412562520485496
379,29211,29211,0.004036436958291672
380,23324,23324,0.0032229590091128325
382,32045,32045,0.004428044994298607
383,20556,20556,0.0028404709908816405
384,8457,8457,0.0011686059140827998
385,14101,14101,0.0019485056159964007
386,12237,12237,0.0016909342048753958
387,34087,34087,0.004710212816996618
388,16080,16080,0.0022219679671812015
389,9327,9327,0.0012888243302176035
390,7284,7284,0.0010065183254320815
391,11162,11162,0.0015423884608007819
392,9248,9248,0.0012779079453042134
393,8048,8048,0.001112089440290691
394,14779,14779,0.0020421930713290406
395,6007,6007,0.0008300597996801914
396,6104,6104,0.0008434634621687845
397,4239,4239,0.0005857538689602683
398,10942,10942,0.0015119884015483026
399,6315,6315,0.0008726198826336622
400,3903,3903,0.0005393246875564819
401,22609,22609,0.0031241588165422753
402,44529,44529,0.006153110174789286
403,15757,15757,0.0021773351529150616
405,27672,27672,0.0038237747256118287
406,9046,9046,0.0012499951636269371
407,4895,4895,0.0006764013183676606
408,7329,7329,0.0010127365193700886
409,3548,3548,0.0004902700464899816
410,20274,20274,0.0028015036422034626
411,8167,8167,0.0011285331087045318
412,17681,17681,0.002443197489286743
414,7856,7856,0.0010855584794885274
415,10453,10453,0.0014444173607552923
416,5968,5968,0.0008246706982672519
417,21298,21298,0.002943002099815002
418,4832,4832,0.0006676958468544505
419,3347,3347,0.0004624954469002165
420,2793,2793,0.0003859425704189736
421,2307,2307,0.00031878607588849703
422,11798,11798,0.0016302722684579487
423,12370,12370,0.0017093124225143945
426,54835,54835,0.007577214768680422
427,12690,12690,0.0017535306905180005
428,19607,19607,0.0027093361898334464
430,13844,13844,0.0019129928195060046
432,29568,29568,0.004085767963533195
433,25676,25676,0.0035479632789393364
434,20434,20434,0.0028236127762052655
435,44218,44218,0.006110135545573282
436,2663,2663,0.00036797889904250866
437,7222,7222,0.000997951036006383
438,18466,18466,0.002551670427983089
439,18654,18654,0.002577648660435207
440,12583,12583,0.0017387452071542947
441,13322,13322,0.0018408617698251223
442,25119,25119,0.00347099585619556
443,2181,2181,0.00030137513286207713
444,32294,32294,0.004462452334088913
445,23069,23069,0.003187722576797459
446,27650,27650,0.003820734719686581
447,18399,18399,0.0025424122281198338
448,19630,19630,0.0027125143778462053
449,11801,11801,0.0016306868147204826
450,23245,23245,0.003212042624199442
453,22448,22448,0.003101911500452961
454,8656,8656,0.0011961041494975423
455,11307,11307,0.0015624248634899158
456,11847,11847,0.001637043190746001
457,28387,28387,0.003922574918182386
458,25867,25867,0.0035743560576539887
459,41856,41856,0.005783749454871665
460,13005,13005,0.00179705804808405
461,21910,21910,0.003027569537371898
462,26030,26030,0.0035968797379183257
465,28396,28396,0.003923818556969987
466,22744,22744,0.0031428133983562962
467,8855,8855,0.0012236023849122848
468,20004,20004,0.00276419447857542
469,14205,14205,0.0019628765530975726
470,17122,17122,0.0023659537023679434
471,7159,7159,0.000989245564493173
472,23583,23583,0.003258748169778251
473,13780,13780,0.0019041491659052834
474,19913,19913,0.0027516199086118948
476,19035,19035,0.0026302960357770006
477,35961,35961,0.004969166048992736
478,20548,20548,0.00283936553418155
479,25779,25779,0.003562196033952997
480,15441,15441,0.002133669613261501
481,9255,9255,0.0012788752199167923
482,21925,21925,0.003029642268684567
483,23447,23447,0.003239955405876718
484,17747,17747,0.0024523175070624865
485,15915,15915,0.0021991679227418423
486,23000,23000,0.003178188012759181
487,19071,19071,0.0026352705909274063
488,2280,2280,0.00031505515952569274
490,40197,40197,0.00555450537169047
491,25853,25853,0.003572421508428831
492,28820,28820,0.003982407762074766
494,22139,22139,0.003059213235411979
495,16822,16822,0.002324499076114563
496,24613,24613,0.0034010757199148577
497,47935,47935,0.006623758364852668
498,22060,22060,0.0030482968504985885
499,31763,31763,0.004389077645620429
500,14670,14670,0.0020271312237903124
501,20028,20028,0.0027675108486756904
502,13192,13192,0.0018228980984486573
503,21743,21743,0.0030044931287575164
504,27762,27762,0.003836211113487843
505,30454,30454,0.0042081972930681786
507,22073,22073,0.0030500932176362352
508,18074,18074,0.002497503049678671
509,26365,26365,0.0036431707372346005
511,6705,6705,0.000926510896763057
513,12200,12200,0.0016858214676374788
514,46891,46891,0.006479496265490903
515,16738,16738,0.002312891780763616
516,6907,6907,0.0009544236784403332
517,20359,20359,0.0028132491196419204
518,25572,25572,0.0035335923418381644
519,64973,64973,0.008978104771869664
520,16487,16487,0.0022782080767982877
522,11542,11542,0.0015948976540550639
523,37192,37192,0.005139268198719107
524,20276,20276,0.0028017800063784852
525,17055,17055,0.0023566955025046887
526,19868,19868,0.0027454017146738875
527,24666,24666,0.003408399370552955
528,17090,17090,0.002361531875567583
529,20217,20217,0.00279362726321532
530,20678,20678,0.002857329205558015
531,20497,20497,0.0028323182477184754
532,17438,17438,0.0024096192420215044
534,8326,8326,0.0011505040606188237
536,18326,18326,0.0025323249357315112
537,24600,24600,0.0033992793527772114
539,16797,16797,0.0023210445239267813
540,19487,19487,0.002692754339332094
545,21849,21849,0.003019140430033711
546,18338,18338,0.0025339831207816465
2000,13105,13105,0.001810876256835177
2001,1987,1987,0.000274567807884891
2002,14836,14836,0.002050069450317183
2003,19382,19382,0.002678245220143411
2005,878,878,0.00012132387283489396
2006,36508,36508,0.0050447516508614
2008,27204,27204,0.0037591055086565552
2009,8802,8802,0.0012162787342741876
2010,14903,14903,0.0020593276501804383
2012,14962,14962,0.002067480393343603
2021,20916,20916,0.0028902165423856973
2022,4001,4001,0.0005528665321325863
2023,9749,9749,0.001347137171147359
3002,36938,36938,0.005104169948491245
3016,19644,19644,0.002714448927071363
3040,5,5,6.909104375563437e-07
3041,2495,2495,0.0003447643083406155
3042,3545,3545,0.0004898555002274478
3043,1885,1885,0.0002604732349587416
3044,1446,1446,0.00019981129854129462
3046,2391,2391,0.0003303933712394436
3047,3443,3443,0.0004757609273012983
3048,2492,2492,0.0003443497620780817
3049,2915,2915,0.0004028007850953484
3050,2507,2507,0.00034642249339075077
3052,3469,3469,0.00047935366157659127
3053,1797,1797,0.00024831321125774996
3054,2509,2509,0.00034669885756577327
3055,2478,2478,0.000342415212852924
3056,2634,2634,0.00036397161850468187
3057,2735,2735,0.00037792800934332004
3058,2692,2692,0.00037198617958033545
3059,1726,1726,0.00023850228304444986
3060,2092,2092,0.00028907692707357425
3061,1703,1703,0.00023532409503169069
3062,3196,3196,0.0004416299516860149
3063,1752,1752,0.00024209501731974284
3064,6183,6183,0.0008543798470821746
3065,1813,1813,0.00025052412465793026
3066,2327,2327,0.0003215497176387224
3067,3707,3707,0.0005122409984042733
3068,4187,4187,0.0005785684004096823
3069,1845,1845,0.00025494595145829086
3070,2187,2187,0.00030220422538714475
3071,2717,2717,0.0003754407317681172
3072,2421,2421,0.00033453883386478164
3073,2711,2711,0.00037461163924304956
3074,7350,7350,0.0010156383432078254
3075,1228,1228,0.00016968760346383803
3076,4004,4004,0.0005532810783951201
3077,6384,6384,0.0008821544466719397
3078,6732,6732,0.0009302418131258612
3080,4623,4623,0.0006388157905645954
3081,3980,3980,0.0005499647082948496
3082,6568,6568,0.0009075799507740132
3083,5096,5096,0.0007041759179574256
3085,6230,6230,0.0008608744051952043
3086,9441,9441,0.0013045770881938883
3087,6766,6766,0.0009349400041012444
3088,3327,3327,0.0004597318051499911
3090,11498,11498,0.0015888176422045681
3091,2852,2852,0.00039409531358213846
3092,11584,11584,0.0016007013017305372
3093,18048,18048,0.0024939103154033786
3094,3975,3975,0.0005492737978572932
3095,2623,2623,0.00036245161554205793
3096,8443,8443,0.0011666713648576421
3100,5831,5831,0.0008057397522782081
3101,7124,7124,0.0009844091914302786
3102,5569,5569,0.0007695360453502557
3103,5577,5577,0.0007706415020503458
3105,3472,3472,0.0004797682078391251
3106,5802,5802,0.0008017324717403812
3107,11831,11831,0.0016348322773458205
3108,7245,7245,0.0010011292240191421
3109,6575,6575,0.000908547225386592
3110,7862,7862,0.001086387572013595
3111,1679,1679,0.00023200772493142023
3112,13597,13597,0.001878861843890721
3113,8372,8372,0.001156860436644342
3115,6843,6843,0.000945580024839612
3116,6725,6725,0.0009292745385132824
3117,4831,4831,0.0006675576647669393
3118,6054,6054,0.000836554357793221
3119,11000,11000,0.0015200029626239561
3120,2830,2830,0.00039105530765689054
3121,2981,2981,0.0004119208028710921
3122,3350,3350,0.0004629099931627503
3123,1418,1418,0.00019594220009097908
3124,5967,5967,0.0008245325161797407
3125,4780,4780,0.0006605103783038646
3126,5332,5332,0.0007367868906100849
3127,1361,1361,0.00018806582110283677
3128,1396,1396,0.00019290219416573119
3129,10380,10380,0.0014343300683669696
3130,2229,2229,0.00030800787306261803
3131,4679,4679,0.0006465539874652265
3132,10636,10636,0.0014697046827698544
3134,9121,9121,0.0012603588201902823
3135,5835,5835,0.0008062924806282531
3136,9663,9663,0.00133525351162139
3137,23384,23384,0.0032312499343635083
3139,7898,7898,0.0010913621271640005
3140,15559,15559,0.0021499750995878303
3141,22917,22917,0.003166718899495746
3142,17211,17211,0.0023782519081564464
3143,14633,14633,0.0020220184865523956
3144,2615,2615,0.00036134615884196776
3145,7475,7475,0.0010329111041467338
3146,7276,7276,0.0010054128687319915
3147,14031,14031,0.0019388328698706119
3148,5414,5414,0.000748117821786009
3150,6731,6731,0.00093010363103835
3151,7514,7514,0.0010383002055596735
3152,4618,4618,0.0006381248801270391
3155,7440,7440,0.0010280747310838394
3156,11084,11084,0.0015316102579749028
3157,3348,3348,0.0004626336289877278
3158,18100,18100,0.0025010957839539643
3159,15689,15689,0.0021679387709642953
3160,14247,14247,0.0019686802007730458
3161,10272,10272,0.0014194064029157526
3162,8426,8426,0.0011643222693699506
3163,21338,21338,0.0029485293833154524
3164,21951,21951,0.0030332350029598602
3165,24766,24766,0.0034222175793040817
3166,13663,13663,0.001887981861666465
3167,20330,20330,0.0028092418391040936
3168,16778,16778,0.002318419064264067
3169,8598,8598,0.0011880895884218887
3170,8391,8391,0.0011594858963070562
3171,12140,12140,0.0016775305423868026
3172,7099,7099,0.0009809546392424969
3173,13607,13607,0.001880243664765834
3175,11257,11257,0.0015555157591143523
3176,9790,9790,0.001352802636735321
3177,8803,8803,0.0012164169163616989
3178,8587,8587,0.0011865695854592648
3179,1673,1673,0.00023117863240635261
3180,7253,7253,0.0010022346807192321
3182,6505,6505,0.0008988744792608032
3183,8088,8088,0.0011176167237911417
3184,3203,3203,0.00044259722629859383
3185,2797,2797,0.0003864952987690187
3186,8931,8931,0.0012341042235631413
3187,4112,4112,0.0005682047438463371
3188,64,64,8.8436536007212e-06
3192,3033,3033,0.00041910627142167814
3193,379,379,5.2371011166770854e-05
3194,882,882,0.00012187660118493904
3197,141,141,1.9483674339088895e-05
3199,3789,3789,0.0005235719295801973
3201,222,222,3.067642342750166e-05
3202,4931,4931,0.0006813758735180662
3203,8276,8276,0.00114359495624326
3205,2163,2163,0.0002988878552868743
3211,2755,2755,0.0003806916510935454
3213,3546,3546,0.000489993682314959
3214,3665,3665,0.0005064373507287999
3221,1902,1902,0.00026282233044643314
3223,16110,16110,0.0022261134298065394
3224,26741,26741,0.0036951272021388377
3226,10234,10234,0.0014141554835903243
3231,4712,4712,0.0006511139963530984
3232,7678,7678,0.0010609620679115214
3233,19070,19070,0.002635132408839895
3235,13309,13309,0.0018390654026874758
3236,18372,18372,0.0025386813117570296
3238,7410,7410,0.0010239292684585013
3241,2890,2890,0.0003993462329075667
3242,6664,6664,0.000920845431175095
3243,8715,8715,0.0012042568926607072
3244,16135,16135,0.0022295679819943214
3245,235,235,3.247279056514816e-05
3249,2782,2782,0.00038442256745634964
3250,11,11,1.5200029626239562e-06
3254,7121,7121,0.0009839946451677447
3255,41306,41306,0.005707749306740467
3256,29973,29973,0.004141731708975258
3257,69,69,9.534564038277544e-06
3258,19809,19809,0.002737248971510723
3259,15772,15772,0.002179407884227731
3260,21999,21999,0.003039867743160401
3263,31925,31925,0.0044114631437972545
3267,5521,5521,0.0007629033051497147
3273,1597,1597,0.0002206767937554962
3275,3154,3154,0.0004358263040105416
3276,3533,3533,0.0004881973151773125
3282,21243,21243,0.002935402085001882
3283,7283,7283,0.0010063801433445702
3284,4338,4338,0.0005994338956238839
3285,8038,8038,0.0011107076194155781
3286,7857,7857,0.0010856966615760387
3288,8064,8064,0.0011143003536908712
3289,4972,4972,0.0006870413391060282
3290,5981,5981,0.0008264670654048984
3292,7098,7098,0.0009808164571549855
3293,7375,7375,0.001019092895395607
3294,4523,4523,0.0006249975818134686
3295,12525,12525,0.001730730646078641
3296,1600,1600,0.00022109134001803
3297,3015,3015,0.0004166189938464753
3298,5247,5247,0.0007250414131716272
3300,6302,6302,0.0008708235154960156
3301,8270,8270,0.0011427658637181925
3302,1636,1636,0.00022606589516843567
3303,3485,3485,0.00048156457497677157
3304,4495,4495,0.000621128483363153
3305,9275,9275,0.0012816388616670176
3306,4315,4315,0.0005962557076111246
3307,7016,7016,0.0009694855259790616
3308,4807,4807,0.0006642412946666689
3309,1757,1757,0.00024278592775729918
3310,4456,4456,0.0006157393819502136
3311,4618,4618,0.0006381248801270391
3312,5308,5308,0.0007334705205098146
3313,2716,2716,0.00037530254968060593
3314,9199,9199,0.0012711370230161611
3315,5889,5889,0.0008137543133538617
3316,4122,4122,0.0005695865647214498
3317,2834,2834,0.00039160803600693566
3318,8744,8744,0.001208264173198534
3319,4154,4154,0.0005740083915218104
3320,8565,8565,0.001183529579534017
3321,4618,4618,0.0006381248801270391
3322,1953,1953,0.00026986961690950785
3323,9984,9984,0.0013796099617125071
3324,2328,2328,0.00032168789972623365
3325,3538,3538,0.0004888882256148688
3326,894,894,0.00012353478623507427
3327,1265,1265,0.00017480034070175497
3328,5032,5032,0.0006953322643567044
3329,3425,3425,0.0004732736497260955
3330,1148,1148,0.00015863303646293652
3331,7307,7307,0.0010096965134448407
3332,1816,1816,0.00025093867092046407
3333,654,654,9.037108523236977e-05
3335,5554,5554,0.0007674633140375866
3336,7603,7603,0.0010505984113481763
3337,1121,1121,0.00015490212010013226
3338,2241,2241,0.00030966605811275327
3339,3472,3472,0.0004797682078391251
3340,1138,1138,0.00015725121558782384
3341,4775,4775,0.0006598194678663083
3342,1561,1561,0.0002157022386050905
3343,3776,3776,0.0005217755624425508
3344,3290,3290,0.0004546190679120742
3345,3279,3279,0.0004530990649494502
3346,6203,6203,0.0008571434888324
3347,3568,3568,0.0004930336882402069
3348,2712,2712,0.00037474982133056087
3349,13259,13259,0.0018321562983119124
3350,8092,8092,0.0011181694521411867
3351,6515,6515,0.0009002563001359159
3352,1203,1203,0.0001662330512760563
3353,3260,3260,0.0004504736052867361
3354,7293,7293,0.001007761964219683
3355,3763,3763,0.0005199791953049043
3356,5283,5283,0.0007300159683220328
3357,5153,5153,0.0007120522969455679
3358,4098,4098,0.0005662701946211793
3359,3519,3519,0.00048626276595215473
3360,11245,11245,0.001553857574064217
3361,4604,4604,0.0006361903309018813
3362,7949,7949,0.0010984094136270754
3363,2367,2367,0.0003270770011391731
3364,4744,4744,0.000655535823153459
3365,5350,5350,0.0007392741681852878
3366,4527,4527,0.0006255503101635136
3367,7557,7557,0.001044242035322658
3368,6385,6385,0.000882292628759451
3369,3795,3795,0.0005244010221052649
3370,4265,4265,0.0005893466032355613
3371,2245,2245,0.00031021878646279833
3372,9073,9073,0.0012537260799897413
3373,5429,5429,0.000750190553098678
3374,23557,23557,0.003255155435502958
3375,4157,4157,0.0005744229377843442
3376,5775,5775,0.000798001555377577
3377,4294,4294,0.000593353883773388
3378,6147,6147,0.000849405291931769
3379,3592,3592,0.0004963500583404773
3381,2448,2448,0.0003382697502275859
3382,7201,7201,0.0009950492121686462
3383,13750,13750,0.0019000037032799453
3384,4170,4170,0.0005762193049219906
3386,3314,3314,0.00045793543801234463
3387,2379,2379,0.00032873518618930836
3388,3612,3612,0.0004991137000907027
3389,4136,4136,0.0005715211139466075
3390,4009,4009,0.0005539719888326764
3391,2848,2848,0.0003935425852320934
3392,1687,1687,0.00023311318163151039
3393,1356,1356,0.00018737491066528043
3394,677,677,9.354927324512894e-05
3395,792,792,0.00010944021330892485
3396,4768,4768,0.0006588521932537293
3397,4005,4005,0.0005534192604826313
3398,4354,4354,0.0006016448090240641
3399,2089,2089,0.00028866238081104044
3400,6541,6541,0.0009038490344112089
3401,1669,1669,0.00023062590405630755
3402,8777,8777,0.0012128241820864058
3403,4220,4220,0.0005831284092975541
3404,3209,3209,0.0004434263188236614
3405,2519,2519,0.000348080678440886
3407,4554,4554,0.0006292812265263179
3408,5603,5603,0.0007742342363256388
3409,13829,13829,0.0019109200881933354
3410,3589,3589,0.0004959355120779435
3411,4293,4293,0.0005932157016858767
3412,3490,3490,0.00048225548541432794
3413,3259,3259,0.00045033542319922485
3414,5792,5792,0.0008003506508652686
3415,4092,4092,0.0005654411020961117
3416,8880,8880,0.0012270569371000664
3417,4954,4954,0.0006845540615308253
3418,10141,10141,0.0014013045494517763
3419,4179,4179,0.0005774629437095921
3420,4548,4548,0.0006284521340012502
3421,1989,1989,0.0002748441720599135
3422,4703,4703,0.0006498703575654969
3423,10043,10043,0.001387762704875672
3424,1937,1937,0.00026765870350932755
3425,3509,3509,0.00048488094507704205
3427,28717,28717,0.003968175007061104
3428,25425,25425,0.003513279574974008
3429,15061,15061,0.0020811604200072185
3430,4983,4983,0.0006885613420686521
3431,11750,11750,0.0016236395282574077
3432,315,315,4.352735756604966e-05
3434,5474,5474,0.0007564087470366851
3435,28213,28213,0.003898531234955425
3436,15914,15914,0.0021990297406543307
3437,3003,3003,0.00041496080879634004
3438,5164,5164,0.0007135722999081918
3440,10602,10602,0.0014650064917944713
3441,1888,1888,0.0002608877812212754
3443,24155,24155,0.0033377883238346964
3445,2579,2579,0.0003563716036915621
3447,8080,8080,0.0011165112670910515
3449,2270,2270,0.00031367333865058006
3452,2563,2563,0.0003541606902913818
3453,5956,5956,0.0008230125132171166
3454,4286,4286,0.0005922484270732978
3455,3131,3131,0.00043264811599778245
3456,1397,1397,0.00019304037625324244
3457,3965,3965,0.0005478919769821806
3458,17828,17828,0.0024635102561508995
3459,10969,10969,0.001515719317911107
3461,13075,13075,0.0018067307942098388
3462,8885,8885,0.001227747847537623
3463,15085,15085,0.002084476790107489
3464,5522,5522,0.000763041487237226
3466,13763,13763,0.0019018000704175918
3467,5685,5685,0.0007855651675015629
3468,118,118,1.6305486326329712e-05
3469,2502,2502,0.0003457315829531944
3470,9,9,1.2436387876014188e-06
3472,11841,11841,0.0016362140982209333
3474,7561,7561,0.001044794763672703
3476,3180,3180,0.0004394190382858346
3477,588,588,8.125106745662603e-05
3478,1650,1650,0.00022800044439359344
3479,2153,2153,0.00029750603441176164
3481,300,300,4.145462625338062e-05
3486,1301,1301,0.00017977489585216063
3489,1463,1463,0.00020216039402898617
3490,181,181,2.5010957839539644e-05
3492,60,60,8.290925250676125e-06
3493,132,132,1.8240035551487476e-05
3494,192,192,2.65309608021636e-05
3495,164,164,2.2661862351848074e-05
3496,342,342,4.725827392885391e-05
3497,543,543,7.503287351861892e-05
3499,70,70,9.672746125788813e-06
3500,145,145,2.003640268913397e-05
3501,159,159,2.197095191429173e-05
3502,158,158,2.183276982678046e-05
3503,126,126,1.7410943026419863e-05
3504,160,160,2.2109134001803e-05
3506,33,33,4.560008887871869e-06
3507,55,55,7.600014813119781e-06
3508,340,340,4.6981909753831374e-05
3509,554,554,7.655287648124288e-05
3510,246,246,3.399279352777211e-05
3511,416,416,5.7483748404687796e-05
3518,325,325,4.4909178441162345e-05
3529,253,253,3.496006814035099e-05
3531,134,134,1.8516399726510013e-05
3533,181,181,2.5010957839539644e-05
3535,204,204,2.8189145852298826e-05
3536,815,815,0.00011261840132168403
3538,199,199,2.7498235414742482e-05
3540,192,192,2.65309608021636e-05
3541,54,54,7.461832725608512e-06
3542,679,679,9.382563742015148e-05
3545,298,298,4.1178262078358084e-05
3547,335,335,4.629099931627503e-05
3551,161,161,2.2247316089314268e-05
3552,746,746,0.00010308383728340648
3553,1073,1073,0.00014826937989959136
3554,56,56,7.73819690063105e-06
3556,55,55,7.600014813119781e-06
3560,48,48,6.6327402005409e-06
3561,87,87,1.2021841613480381e-05
3563,43,43,5.941829762984556e-06
3564,12,12,1.658185050135225e-06
3565,33,33,4.560008887871869e-06
3566,27,27,3.730916362804256e-06
3567,11,11,1.5200029626239562e-06
3568,29,29,4.007280537826794e-06
3570,26,26,3.5927342752929873e-06
3572,50,50,6.909104375563438e-06
3573,41,41,5.6654655879620185e-06
3577,16,16,2.2109134001803e-06
3586,4,4,5.52728350045075e-07
3588,39,39,5.389101412939481e-06
3589,19,19,2.625459662714106e-06
3591,6,6,8.290925250676125e-07
3592,25,25,3.454552187781719e-06
3593,35,35,4.8363730628944065e-06
3598,13,13,1.7963671376464936e-06
3602,34,34,4.698190975383138e-06
3603,15,15,2.0727313126690313e-06
3605,11,11,1.5200029626239562e-06
3609,10,10,1.3818208751126874e-06
3610,4,4,5.52728350045075e-07
3632,1744,1744,0.0002409895606196527
3635,670,670,9.258199863255007e-05
3637,117,117,1.6167304238818444e-05
